row_index,title,peeled_title,normalized_title,noise_removed,token_count,role_hits,domain_hits,noise_hits,occupation_signal,penalty_signal,net_signal,decision,matched_rules
"433","Sales Account Manager - Greek Speaker","Sales Account Manager Greek Speaker","sales account manager greek speaker","yes","5","manager","","","0.900","0.000","0.900","help","role_head:manager"
"434","Reprezentant vanzari Cernavoda","Reprezentant vanzari Cernavoda","reprezentant vanzari cernavoda","no","3","reprezentant|reprezentant vanzari","vanzari","","1.000","0.000","1.000","help","role_head:reprezentant|domain_modifier:vanzari|role_phrase:reprezentant vanzari"
"435","FRIGOTEHNIST","FRIGOTEHNIST","frigotehnist","no","1","","","","0.000","0.000","0.000","neutral",""
"436","OPERATOR ASAMBLARE","OPERATOR ASAMBLARE","operator asamblare","no","2","operator","","","0.900","0.000","0.900","help","role_head:operator"
"437","Asistent Medical","Asistent Medical","asistent medical","no","2","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"438","Store Manager/ Director Restaurant - Burger King Romania","Store Manager/ Director Restaurant Burger King Romania","store manager director restaurant burger king romania","yes","7","manager|director","","","1.000","0.000","1.000","help","role_head:manager|role_head:director"
"439","Instalatori in Gaz  Autorizati ANRE","Instalatori in Gaz Autorizati ANRE","instalatori in gaz autorizati anre","yes","5","","","","0.000","0.000","0.000","neutral",""
"440","CASIER SCHIMB VALUTAR SI AUR DE INVESTITII","CASIER SCHIMB VALUTAR SI AUR DE INVESTITII","casier schimb valutar si aur de investitii","no","7","","","","0.000","0.000","0.000","neutral",""
"441","CASIER SCHIMB VALUTAR SI AUR DE INVESTITII","CASIER SCHIMB VALUTAR SI AUR DE INVESTITII","casier schimb valutar si aur de investitii","no","7","","","","0.000","0.000","0.000","neutral",""
"442","Turkish–English–Romanian Translator","Turkish–English–Romanian Translator","turkish english romanian translator","no","4","","","","0.000","0.000","0.000","neutral",""
"443","Manager calitate","Manager calitate","manager calitate","no","2","manager","","","0.900","0.000","0.900","help","role_head:manager"
"444","Electrician","Electrician","electrician","no","1","electrician","","","0.900","0.000","0.900","help","role_head:electrician"
"445","Responsabil Tehnic cu Execuția","Responsabil Tehnic cu Execuția","responsabil tehnic cu executia","no","4","responsabil","","","0.720","0.000","0.720","help","role_head:responsabil"
"446","Instalator tehnico-sanitare / Ajutor Instalator - Timisoara","Instalator tehnico-sanitare Ajutor Instalator","instalator tehnico sanitare ajutor instalator","yes","6","instalator","","","0.880","0.000","0.880","help","role_head:instalator"
"447","ELECTRICIAN EXPL.  RETELE MT JT  Alexandria, Rosiori, Videle","ELECTRICIAN EXPL. RETELE MT JT Alexandria, Rosiori, Videle","electrician expl retele mt jt alexandria rosiori videle","yes","8","electrician","","","0.900","0.000","0.900","help","role_head:electrician"
"448","Sofer profesionist C+E, contract pe comunitate","Sofer profesionist C+E, contract pe comunitate","sofer profesionist c e contract pe comunitate","no","7","sofer","","","0.880","0.000","0.880","help","role_head:sofer"
"449","Construction Foreman","Construction Foreman","construction foreman","no","2","","","","0.000","0.000","0.000","neutral",""
"450","Vânzător Breaza (f/m)","Vânzător Breaza","vanzator breaza","yes","4","vanzator","","","0.900","0.000","0.900","help","role_head:vanzator"
"451","Full Stack Developer AI-Driven Product Development","Full Stack Developer AI-Driven Product Development","full stack developer ai driven product development","no","7","","","full","0.000","0.960","-0.960","hurt","generic_noise:full"
"452","Operator Depozit & Logistică – Eiluminat Bulgaria (Ruse)","Eiluminat Bulgaria","eiluminat bulgaria","yes","6","","","","0.000","0.000","0.000","neutral",""
"453","Inginer proiectant electric - R&D si prototipare","Inginer proiectant electric R&D si prototipare","inginer proiectant electric r d si prototipare","yes","7","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"454","Finite Element Analysis (FEA) / Stress Analysis Engineer","Finite Element Analysis Stress Analysis Engineer","finite element analysis stress analysis engineer","yes","7","","","","0.000","0.000","0.000","neutral",""
"455","STORE / ASISTENT MANAGER","ASISTENT MANAGER","asistent manager","yes","3","manager|asistent|asistent manager","","","1.000","0.000","1.000","help","role_head:manager|role_head:asistent|role_phrase:asistent manager"
"456","REPREZENTANT VANZARI","REPREZENTANT VANZARI","reprezentant vanzari","no","2","reprezentant|reprezentant vanzari","vanzari","","1.000","0.000","1.000","help","role_head:reprezentant|domain_modifier:vanzari|role_phrase:reprezentant vanzari"
"457","Contabil Senior","Contabil Senior","contabil senior","no","2","contabil","","senior","0.880","0.720","0.160","neutral","role_head:contabil|generic_noise:senior"
"458","Junior Economist - Goods Accounting (f/m)","Junior Economist Goods Accounting","junior economist goods accounting","yes","6","","","junior","0.000","0.720","-0.720","neutral","generic_noise:junior"
"459","Taskforce Operations Manager -Bucharest","Taskforce Operations Manager -Bucharest","taskforce operations manager bucharest","no","4","manager","","operations","0.900","0.880","0.020","neutral","role_head:manager|generic_noise:operations"
"460","Sales Manager","Sales Manager","sales manager","no","2","manager","","","0.900","0.000","0.900","help","role_head:manager"
"461","Office Manager - Aeroport Cluj","Office Manager Aeroport Cluj","office manager aeroport cluj","yes","4","manager","","office","0.900","0.820","0.080","neutral","role_head:manager|generic_noise:office"
"462","Client Support PORTUGUESE Bucharest - September 15th start date","Client Support PORTUGUESE Bucharest - September 15th start date","client support portuguese bucharest september 15th start date","no","8","","","","0.000","0.000","0.000","neutral",""
"463","Client Support ITALIAN Bucharest - September 15th start date","Client Support ITALIAN Bucharest - September 15th start date","client support italian bucharest september 15th start date","no","8","","","","0.000","0.000","0.000","neutral",""
"464","Client Support SPANISH Bucharest - September 15th start date","Client Support SPANISH Bucharest - September 15th start date","client support spanish bucharest september 15th start date","no","8","","","","0.000","0.000","0.000","neutral",""
"465","Client Support PORTUGUESE BRASOV - September 15th start date","Client Support PORTUGUESE BRASOV","client support portuguese brasov","yes","8","","","","0.000","0.000","0.000","neutral",""
"466","Client Support ITALIAN BRASOV - September 15th start date","Client Support ITALIAN BRASOV","client support italian brasov","yes","8","","","","0.000","0.000","0.000","neutral",""
"467","Agent Servicii Client - Cluj","Agent Servicii Client Cluj","agent servicii client cluj","yes","4","agent","","","0.820","0.000","0.820","help","role_head:agent"
"468","Client Support SPANISH BRASOV - September 15th start date","Client Support SPANISH BRASOV","client support spanish brasov","yes","8","","","","0.000","0.000","0.000","neutral",""
"469","Economist / Contabil","Economist Contabil","economist contabil","yes","2","contabil","","","0.880","0.000","0.880","help","role_head:contabil"
"470","YoungLead McDonald’s Romania","YoungLead McDonald’s Romania","younglead mcdonald s romania","no","4","","","","0.000","0.000","0.000","neutral",""
"471","Lucrator comercial","Lucrator comercial","lucrator comercial","no","2","lucrator|lucrator comercial","","","1.000","0.000","1.000","help","role_head:lucrator|role_phrase:lucrator comercial"
"472","GEL – Responsabil ospitalitate","Responsabil ospitalitate","responsabil ospitalitate","yes","3","responsabil","","","0.720","0.000","0.720","help","role_head:responsabil"
"473","Barista McCafe","Barista McCafe","barista mccafe","no","2","","","","0.000","0.000","0.000","neutral",""
"474","Consultant Imobiliar - RE/MAX Evolution","Consultant Imobiliar RE/MAX Evolution","consultant imobiliar re max evolution","yes","5","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"475","Asistent medical generalist Dializa","Asistent medical generalist Dializa","asistent medical generalist dializa","no","4","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"476","Asistent Vanzari Intimissimi & Iuman","Asistent Vanzari Intimissimi & Iuman","asistent vanzari intimissimi iuman","no","4","asistent","vanzari","","1.000","0.000","1.000","help","role_head:asistent|domain_modifier:vanzari"
"477","Coordonator SSM","Coordonator SSM","coordonator ssm","no","2","coordonator","","","0.800","0.000","0.800","help","role_head:coordonator"
"478","Project manager/Construction manager - energie regenerabila","Project manager/Construction manager energie regenerabila","project manager construction manager energie regenerabila","yes","6","manager","","","0.900","0.000","0.900","help","role_head:manager"
"479","Responsabil de tură Sighișoara, Mihai Viteazu (f/m)","Responsabil de tură Sighișoara, Mihai Viteazu (f/m)","responsabil de tura sighisoara mihai viteazu f m","no","8","responsabil|responsabil de tura","","","1.000","0.000","1.000","help","role_head:responsabil|role_phrase:responsabil de tura"
"480","HGV Driver","HGV Driver","hgv driver","no","2","","","","0.000","0.000","0.000","neutral",""
"481","Dulgher (Disponibilitate la Deplasări)","Dulgher","dulgher","yes","4","","","","0.000","0.000","0.000","neutral",""
"482","Business Sales Representative","Business Sales Representative","business sales representative","no","3","representative","","","0.820","0.000","0.820","help","role_head:representative|role_phrase:sales representative"
"483","SAP EWM MFS Lead Consultant/ ABAP Developer","SAP EWM MFS Lead Consultant/ ABAP Developer","sap ewm mfs lead consultant abap developer","no","7","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"484","Manager Adjunct Action Hunedoara","Manager Adjunct Action Hunedoara","manager adjunct action hunedoara","no","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"485","Business Credit & Collection Analyst","Business Credit & Collection Analyst","business credit collection analyst","no","4","","","","0.000","0.000","0.000","neutral",""
"486","Manager Adjunct Magazin Hateg","Manager Adjunct Magazin Hateg","manager adjunct magazin hateg","no","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"487","PAUL cauta colegi casieri in BUCURESTI si BANEASA","PAUL cauta colegi casieri in BUCURESTI si BANEASA","paul cauta colegi casieri in bucuresti si baneasa","no","8","","","bucuresti","0.000","0.960","-0.960","hurt","generic_noise:bucuresti"
"488","Social Media Monitoring & Reporting Specialist","Social Media Monitoring & Reporting Specialist","social media monitoring reporting specialist","no","5","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"489","Inginer procese fabricatie - semifabricate","Inginer procese fabricatie semifabricate","inginer procese fabricatie semifabricate","yes","4","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"490","Sef Schimb Productie FPGC","Sef Schimb Productie FPGC","sef schimb productie fpgc","no","4","sef","","","0.760","0.000","0.760","help","role_head:sef"
"491","Montator structuri metalice din aluminiu","Montator structuri metalice din aluminiu","montator structuri metalice din aluminiu","no","5","","","","0.000","0.000","0.000","neutral",""
"492","Inginer PIF si Mentenanță Curenți Slabi","Inginer PIF si Mentenanță Curenți Slabi","inginer pif si mentenanta curenti slabi","no","6","inginer","mentenanta","","1.000","0.000","1.000","help","role_head:inginer|domain_modifier:mentenanta"
"493","Coordonator Îmbunătățire Continuă","Coordonator Îmbunătățire Continuă","coordonator imbunatatire continua","no","3","coordonator","","","0.800","0.000","0.800","help","role_head:coordonator"
"494","B2B Customer Success Specialist- Equipment Services with German","B2B Customer Success Specialist- Equipment Services with German","b2b customer success specialist equipment services with german","no","8","specialist","","services|b2b","0.920","1.000","-0.080","neutral","role_head:specialist|generic_noise:services|generic_noise:b2b"
"495","Specialist(ă) Ofertare Instalații Electrice si Mecanice","Specialist Ofertare Instalații Electrice si Mecanice","specialist ofertare instalatii electrice si mecanice","yes","7","specialist","ofertare","","1.000","0.000","1.000","help","role_head:specialist|domain_modifier:ofertare"
"496","Car Rental Sales Agent - Iasi","Car Rental Sales Agent","car rental sales agent","yes","5","agent","","","0.820","0.000","0.820","help","role_head:agent"
"497","Ajutor de bucatar","Ajutor de bucatar","ajutor de bucatar","no","3","","","","0.000","0.000","0.000","neutral",""
"498","Emergency Medical Technician","Emergency Medical Technician","emergency medical technician","no","3","","","","0.000","0.000","0.000","neutral",""
"499","Om bun la toate","Om bun la toate","om bun la toate","no","4","","","","0.000","0.000","0.000","neutral",""
"500","Dispecer in pizzerie","Dispecer in pizzerie","dispecer in pizzerie","no","3","","","","0.000","0.000","0.000","neutral",""
"501","📢 Customer Support - HUNGARIAN => Brasov","📢 Customer Support HUNGARIAN => Brasov","customer support hungarian brasov","yes","4","","","","0.000","0.000","0.000","neutral",""
"502","Asistent vanzari Next Iulius Mall","Asistent vanzari Next Iulius Mall","asistent vanzari next iulius mall","no","5","asistent","vanzari","","1.000","0.000","1.000","help","role_head:asistent|domain_modifier:vanzari"
"503","Simigeriile LUCA angajeaza SEF DE TURA!","Simigeriile LUCA angajeaza SEF DE TURA!","simigeriile luca angajeaza sef de tura","no","6","sef","","","0.760","0.000","0.760","help","role_head:sef"
"504","KFC cauta colegi! Hai intr-o echipa #pebune!","KFC cauta colegi! Hai intr-o echipa #pebune!","kfc cauta colegi hai intr o echipa pebune","no","8","","","","0.000","0.000","0.000","neutral",""
"505","Vânzător Balotești (f/m)","Vânzător Balotești","vanzator balotesti","yes","4","vanzator","","","0.900","0.000","0.900","help","role_head:vanzator"
"506","Specialist Întreținere Flotă Camioane","Specialist Întreținere Flotă Camioane","specialist intretinere flota camioane","no","4","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"507","Sofer containere - DUBLA/SIMPLA","Sofer containere","sofer containere","yes","4","sofer","","","0.880","0.000","0.880","help","role_head:sofer"
"508","INGINER IN SISTEMUL DE SIGURANTA ALIMENTARA HACCP","INGINER IN SISTEMUL DE SIGURANTA ALIMENTARA HACCP","inginer in sistemul de siguranta alimentara haccp","no","7","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"509","Software Developer C++ Algorithms Autonomous Driving (m/f/x)","Software Developer C++ Algorithms Autonomous Driving","software developer c algorithms autonomous driving","yes","9","","","","0.000","0.000","0.000","neutral",""
"510","Maistru Matrițerie","Maistru Matrițerie","maistru matriterie","no","2","","","","0.000","0.000","0.000","neutral",""
"511","Graduate Investment Analyst","Graduate Investment Analyst","graduate investment analyst","no","3","","","","0.000","0.000","0.000","neutral",""
"512","International Sales Executive","International Sales Executive","international sales executive","no","3","","","","0.000","0.000","0.000","neutral",""
"513","Angajam receptioneri/e","Angajam receptioneri/e","angajam receptioneri e","no","3","","","","0.000","0.000","0.000","neutral",""
"514","conducător auto","conducător auto","conducator auto","no","2","","","","0.000","0.000","0.000","neutral",""
"515","RECEPTIOER / RECEPTIONERA","RECEPTIOER RECEPTIONERA","receptioer receptionera","yes","2","","","","0.000","0.000","0.000","neutral",""
"516","INSTRUCTOR / ANTRENOR DE INOT","INSTRUCTOR ANTRENOR DE INOT","instructor antrenor de inot","yes","4","instructor|antrenor","","","1.000","0.000","1.000","help","role_head:instructor|role_head:antrenor"
"517","Responsabil de tură Jilava (f/m)","Responsabil de tură Jilava (f/m)","responsabil de tura jilava f m","no","6","responsabil|responsabil de tura","","","1.000","0.000","1.000","help","role_head:responsabil|role_phrase:responsabil de tura"
"518","Broker Asigurari","Broker Asigurari","broker asigurari","no","2","","","","0.000","0.000","0.000","neutral",""
"519","Certified TIG Pipe Welder","Certified TIG Pipe Welder","certified tig pipe welder","no","4","","","","0.000","0.000","0.000","neutral",""
"520","Mecanic utilaje agricole / Mechanic - Olanda","Mecanic utilaje agricole Mechanic Olanda","mecanic utilaje agricole mechanic olanda","yes","5","mecanic","utilaje","","1.000","0.000","1.000","help","role_head:mecanic|domain_modifier:utilaje"
"521","Personal de Serviciu Câmpia Turzii, part-time, 4h (f/m)","Personal de Serviciu Câmpia Turzii, part-time, 4h (f/m)","personal de serviciu campia turzii part time 4h f m","no","10","","","part","0.000","0.960","-0.960","hurt","generic_noise:part"
"522","Vânzător Câmpia Turzii (f/m)","Vânzător Câmpia Turzii","vanzator campia turzii","yes","5","vanzator","","","0.900","0.000","0.900","help","role_head:vanzator"
"523","Game Presenter for Online Casino (English & Greek Language)","Game Presenter for Online Casino","game presenter for online casino","yes","8","","","","0.000","0.000","0.000","neutral",""
"524","Operatore Chat -Italiano-Ibrido-Iasi(Full/Part)","Operatore Chat -Italiano-Ibrido-Iasi","operatore chat italiano ibrido iasi","yes","7","","","iasi","0.000","0.960","-0.960","hurt","generic_noise:iasi"
"525","Specialist for Customer Service with Romanian language (Poland - Poznań)","Specialist for Customer Service with Romanian language","specialist for customer service with romanian language","yes","9","specialist","","service","0.920","0.900","0.020","neutral","role_head:specialist|generic_noise:service"
"526","Manager de librarie","Manager de librarie","manager de librarie","no","3","manager","","","0.900","0.000","0.900","help","role_head:manager"
"527","Manipulant Marfa – Bucuresti- Ilfov (f/m)","Manipulant Marfa","manipulant marfa","yes","6","manipulant","","","0.880","0.000","0.880","help","role_head:manipulant"
"528","Spaniola Operator Telesales - Spanish KAM 4650 - 7750 lei + bonus BUCURESTI","Spaniola Operator Telesales","spaniola operator telesales","yes","10","operator","","","0.900","0.000","0.900","help","role_head:operator"
"529","Spaniola Operator Telesales - Spanish KAM 4650 - 6000 lei + bonus PLOIESTI","Spaniola Operator Telesales","spaniola operator telesales","yes","10","operator","","","0.900","0.000","0.900","help","role_head:operator"
"530","Visual Merchandiser Manager Iasi","Visual Merchandiser Manager Iasi","visual merchandiser manager iasi","no","4","manager","","iasi","0.900","0.960","-0.060","neutral","role_head:manager|generic_noise:iasi"
"531","Shift Manager/Sef Tura - Restaurant Popeyes Romania","Restaurant Popeyes Romania","restaurant popeyes romania","yes","7","","","","0.000","0.000","0.000","neutral",""
"532","Consultant Relatii Clienti - Targu Jiu (on-site)","Consultant Relatii Clienti Targu Jiu","consultant relatii clienti targu jiu","yes","7","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"533","Manager Adjunct - Action Valea Adanca (Iasi)","Manager Adjunct Action Valea Adanca","manager adjunct action valea adanca","yes","6","manager","","","0.900","0.000","0.900","help","role_head:manager"
"534","Manager Magazin Action Falticeni","Manager Magazin Action Falticeni","manager magazin action falticeni","no","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"535","Manager Adjunct - Action Afumati","Manager Adjunct Action Afumati","manager adjunct action afumati","yes","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"536","Manager Adjunct Action Falticeni","Manager Adjunct Action Falticeni","manager adjunct action falticeni","no","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"537","Sofer livrari produse alimentare in Olanda INCEPERE IMEDIATA  BONUS de 400€!!","Sofer livrari produse alimentare in Olanda INCEPERE IMEDIATA  BONUS de 400€!!","sofer livrari produse alimentare in olanda incepere imediata bonus de 400","no","11","sofer","","","0.880","0.000","0.880","help","role_head:sofer"
"538","Devino Shuffler in București, experiența nu e necesară","Devino Shuffler in București, experiența nu e necesară","devino shuffler in bucuresti experienta nu e necesara","no","8","","","bucuresti","0.000","0.960","-0.960","hurt","generic_noise:bucuresti"
"539","Social & Community Manager (AI)","Social & Community Manager","social community manager","yes","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
"540","Video Creator (AI & Social Media)","Video Creator","video creator","yes","5","","","","0.000","0.000","0.000","neutral",""
"541","Motion Designer","Motion Designer","motion designer","no","2","","","","0.000","0.000","0.000","neutral",""
"542","💼 Specialist Planificare Producție CNC | Argeș | Full-time","💼 Specialist Planificare Producție CNC Argeș","specialist planificare productie cnc arges","yes","7","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"543","DIRECTOR AL TRANSPORT PUBLIC DĂBULENI S.R.L","DIRECTOR AL TRANSPORT PUBLIC DĂBULENI S.R.L","director al transport public dabuleni s r l","no","8","director","","","0.780","0.000","0.780","help","role_head:director"
"544","💼 Programator CNC (Fanuc & Siemens) + Proiectare | Argeș | Full-time","💼 Programator CNC + Proiectare Argeș","programator cnc proiectare arges","yes","8","","","","0.000","0.000","0.000","neutral",""
"545","💼 Șef de tură Producție CNC (Strunguri) | Argeș | Full-time","Argeș","arges","yes","9","","","","0.000","0.000","0.000","neutral",""
"546","Tehnician Facility","Tehnician Facility","tehnician facility","no","2","tehnician","","","0.950","0.000","0.950","help","role_head:tehnician"
"547","Tinichigiu","Tinichigiu","tinichigiu","no","1","","","","0.000","0.000","0.000","neutral",""
"548","TEHNICIAN SERVICE/ ELECTRICIAN","TEHNICIAN SERVICE/ ELECTRICIAN","tehnician service electrician","no","3","tehnician|electrician|tehnician service","","service","1.000","0.900","0.100","neutral","role_head:tehnician|role_head:electrician|generic_noise:service|role_phrase:tehnician service"
"549","ELECTRICIAN AUTO","ELECTRICIAN AUTO","electrician auto","no","2","electrician","","","0.900","0.000","0.900","help","role_head:electrician"
"550","Senior Java Engineer in Banking","Senior Java Engineer in Banking","senior java engineer in banking","no","5","","","senior","0.000","0.720","-0.720","neutral","generic_noise:senior"
"551","Muncitori pentru finisare, legătorie","Muncitori pentru finisare, legătorie","muncitori pentru finisare legatorie","no","4","","","","0.000","0.000","0.000","neutral",""
"552","Medic – specialitatea Cardiologie","Medic specialitatea Cardiologie","medic specialitatea cardiologie","yes","3","","","","0.000","0.000","0.000","neutral",""
"553","Medic – specialitatea Diabet","Medic specialitatea Diabet","medic specialitatea diabet","yes","3","","","","0.000","0.000","0.000","neutral",""
"554","MECANIC AUTO","MECANIC AUTO","mecanic auto","no","2","mecanic","","","0.900","0.000","0.900","help","role_head:mecanic"
"555","Electronist - Controlul calitatii (QA)","Electronist Controlul calitatii","electronist controlul calitatii","yes","4","","","","0.000","0.000","0.000","neutral",""
"556","Medic – specialitatea Neurologie","Medic specialitatea Neurologie","medic specialitatea neurologie","yes","3","","","","0.000","0.000","0.000","neutral",""
"557","Medic – Medicină internă","Medic Medicină internă","medic medicina interna","yes","3","","","","0.000","0.000","0.000","neutral",""
"558","Șofer Profesionist","Șofer Profesionist","sofer profesionist","no","2","sofer","","","0.880","0.000","0.880","help","role_head:sofer"
"559","LUCRĂTOR COMENZI / ORDER PICKER – JUMBO DC WOERDEN – MUNCĂ ÎN OLANDA – HALĂ CALDĂ","LUCRĂTOR COMENZI ORDER PICKER JUMBO DC WOERDEN MUNCĂ ÎN OLANDA HALĂ CALDĂ","lucrator comenzi order picker jumbo dc woerden munca in olanda hala calda","yes","12","lucrator","","","0.780","0.000","0.780","help","role_head:lucrator"
"560","LUCRĂTOR COMENZI LA JUMBO–DISPONIBIL ȘI PENTRU CUPLURI–16,50€ BRUT/ORĂ–MUNCĂ IN OLANDA","LUCRĂTOR COMENZI LA JUMBO–DISPONIBIL ȘI PENTRU CUPLURI–16,50€ BRUT/ORĂ–MUNCĂ IN OLANDA","lucrator comenzi la jumbo disponibil si pentru cupluri 16 50 brut ora munca in olanda","no","15","lucrator","","","0.780","0.000","0.780","help","role_head:lucrator"
"561","Lucrator comercial si Sef de tura - Bucuresti & Ilfov","Lucrator comercial si Sef de tura - Bucuresti & Ilfov","lucrator comercial si sef de tura bucuresti ilfov","no","8","lucrator|sef|lucrator comercial","","bucuresti","1.000","0.960","0.040","neutral","role_head:lucrator|role_head:sef|generic_noise:bucuresti|role_phrase:lucrator comercial"
"562","Safety & Security Specialist","Safety & Security Specialist","safety security specialist","no","3","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"563","Achizitor Echipamente Industriale & Mentenanță (Jr/Senior)","Achizitor Echipamente Industriale & Mentenanță","achizitor echipamente industriale mentenanta","yes","6","","mentenanta","","0.510","0.000","0.510","neutral","domain_modifier:mentenanta"
"564","Sef tura fabrica productie patiserie","Sef tura fabrica productie patiserie","sef tura fabrica productie patiserie","no","5","sef|sef tura","","","1.000","0.000","1.000","help","role_head:sef|role_phrase:sef tura"
"565","Șofer Distribuție – Categoria B | EVAMAR | București","Șofer Distribuție Categoria B","sofer distributie categoria b","yes","6","sofer|sofer distributie","","","1.000","0.000","1.000","help","role_head:sofer|role_phrase:sofer distributie"
"566","📢Customer Support - GERMAN - BUCHAREST","📢Customer Support","customer support","yes","4","","","","0.000","0.000","0.000","neutral",""
"567","Sofer Parking Otopeni","Sofer Parking Otopeni","sofer parking otopeni","no","3","sofer","","","0.880","0.000","0.880","help","role_head:sofer"
"568","Financial Partner (Commercial Area)","Financial Partner","financial partner","yes","4","","","","0.000","0.000","0.000","neutral",""
"569","Customer Service Representative with French in Cluj-Napoca","Customer Service Representative with French in Cluj-Napoca","customer service representative with french in cluj napoca","yes","8","representative","","service","0.820","0.900","-0.080","neutral","role_head:representative|generic_noise:service"
"570","Agent Imobiliar / Consultant Imobiliar–Real Estate","Agent Imobiliar Consultant Imobiliar–Real Estate","agent imobiliar consultant imobiliar real estate","yes","6","consultant|agent","","","1.000","0.000","1.000","help","role_head:consultant|role_head:agent"
"571","AGENT CALL CENTER LIMBA ITALIANA IASI SEPTEMBRIE","AGENT CALL CENTER LIMBA ITALIANA IASI SEPTEMBRIE","agent call center limba italiana iasi septembrie","no","7","agent","","iasi","0.820","0.960","-0.140","neutral","role_head:agent|generic_noise:iasi"
"572","Specialist Inspecție Vehicule - Germania, cazare asigurată","Specialist Inspecție Vehicule Germania, cazare asigurată","specialist inspectie vehicule germania cazare asigurata","yes","6","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"573","Program Ucenicie Electric (m/f)","Program Ucenicie Electric","program ucenicie electric","yes","5","","","","0.000","0.000","0.000","neutral",""
"574","Program Ucenicie Mecanic (m/f)","Program Ucenicie Mecanic","program ucenicie mecanic","yes","5","mecanic","","","0.900","0.000","0.900","help","role_head:mecanic"
"575","Team Leader Mentenanță Mecanic (Italia)","Team Leader Mentenanță Mecanic","team leader mentenanta mecanic","yes","5","mecanic","mentenanta","","1.000","0.000","1.000","help","role_head:mecanic|domain_modifier:mentenanta"
"576","Mecanic mentenanță (Italia)","Mecanic mentenanță","mecanic mentenanta","yes","3","mecanic","mentenanta","","1.000","0.000","1.000","help","role_head:mecanic|domain_modifier:mentenanta"
"577","Electrician mentenanță (Italia)","Electrician mentenanță","electrician mentenanta","yes","3","electrician","mentenanta","","1.000","0.000","1.000","help","role_head:electrician|domain_modifier:mentenanta"
"578","Operator mașini (Italia)","Operator mașini","operator masini","yes","3","operator","","","0.900","0.000","0.900","help","role_head:operator"
"579","Asistent manager departament logistică (m/f)","Asistent manager departament logistică","asistent manager departament logistica","yes","6","manager|asistent|asistent manager","logistica","","1.000","0.000","1.000","help","role_head:manager|role_head:asistent|domain_modifier:logistica|role_phrase:asistent manager"
"580","New Business Sales Manager ( Saas/ MarTech)","New Business Sales Manager","new business sales manager","yes","6","manager","","","0.900","0.000","0.900","help","role_head:manager"
"581","GERMAN Back Office Moderator - BRASOV Relocation | 2 Months Free Accommodation","GERMAN Back Office Moderator BRASOV Relocation","german back office moderator brasov relocation","yes","10","","","office","0.000","0.820","-0.820","hurt","generic_noise:office"
"582","Consilier Vanzari HORNBACH","Consilier Vanzari HORNBACH","consilier vanzari hornbach","no","3","consilier vanzari","vanzari","","1.000","0.000","1.000","help","domain_modifier:vanzari|role_phrase:consilier vanzari"
"583","Inginer Constructor 10000RON NET-URZICENI/ ODORHEIU SECUIESC","Inginer Constructor 10000RON NET-URZICENI/ ODORHEIU SECUIESC","inginer constructor 10000ron net urziceni odorheiu secuiesc","no","7","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"584","Inginer electric/automatist derulare contracte","Inginer electric/automatist derulare contracte","inginer electric automatist derulare contracte","no","5","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"585","Specialist Social Media - Iași","Specialist Social Media","specialist social media","yes","4","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"586","Lucrător Depozit – Otopeni (Program dupa-amiaza) | UPS","Lucrător Depozit","lucrator depozit","yes","7","lucrator|lucrator depozit","depozit","","1.000","0.000","1.000","help","role_head:lucrator|domain_modifier:depozit|role_phrase:lucrator depozit"
"587","Plant Projects Engineer (CAPEX) - Timisoara","Plant Projects Engineer","plant projects engineer","yes","5","","","","0.000","0.000","0.000","neutral",""
"588","Sofer categoria B - BRASOV","Sofer categoria B","sofer categoria b","yes","4","sofer","","","0.880","0.000","0.880","help","role_head:sofer"
"589","Șef de santier pentru fibra optica - Germania","Șef de santier pentru fibra optica Germania","sef de santier pentru fibra optica germania","yes","7","sef","","","0.760","0.000","0.760","help","role_head:sef"
"590","Specialist SSM Junior (f/m)","Specialist SSM Junior","specialist ssm junior","yes","5","specialist","","junior","0.920","0.720","0.200","neutral","role_head:specialist|generic_noise:junior"
"591","Manager Parc Auto - Otopeni","Manager Parc Auto","manager parc auto","yes","4","manager","","","0.900","0.000","0.900","help","role_head:manager"
