role_head,global_aliases,current_ro_aliases,current_hu_aliases,missing_locales,ro_aliases_to_add,hu_aliases_to_add,note
au pair,,,,ro;hu,,,
paperhanger,tapetar; tapétázó; tapeetija,,,ro;hu,,,
papermaker,hârtier; papírgyártó; paberitootja,,,ro;hu,,,
pedagogue,pedagog; pedagoog,,,ro;hu,,,
pedicure,,,,ro;hu,,,
pelletiser,peletizator; pelletizáló; pelletiseerija; pelletizer,,,ro;hu,,,
person,,,,ro;hu,,,
pizzaiolo,pizzaszakács; pitsameister; pizzamaker,,,ro;hu,,,
planer,,,,ro;hu,,,
postman,postwoman,,,ro;hu,,,
preparer,,,,ro;hu,,,
professional,,,,ro;hu,,,
psychic,clarvăzător; jós; selgeltnägija,,,ro;hu,,,
pusher,,,,ro;hu,,,
reproducer,,,,ro;hu,,,
roughneck,muncitor de sondă; olajipari munkás; naftatööline,,,ro;hu,,,
roustabout,muncitor auxiliar de sondă; olajipari segédmunkás; naftatööstuse abitööline,,,ro;hu,,,
sander,,,,ro;hu,,,
scholar,cercetător; teadlane,,,ro;hu,,,
sergeant,sergent; őrmester; seersant,,,ro;hu,,,
servicer,,,,ro;hu,,,
sewer,,,,ro;hu,,,
sexer,,,,ro;hu,,,
shepherd,păstor; juhász; karjus,,,ro;hu,,,
shipwright,constructor de nave; hajóács; laevaehitaja,,,ro;hu,,,
signalperson,semnalist; jelzőőr; signaalimees; signaller,,,ro;hu,,,
silversmith,argintar; ezüstműves; hõbespp,,,ro;hu,,,
soldier,soldat; katona; sõdur,,,ro;hu,,,
spokesperson,purtător de cuvânt; szóvivő; kõneisik; spokesman; spokeswoman,,,ro;hu,,,
sprayer,,,,ro;hu,,,
stagehand,tehnician de scenă; színpadi munkás; lavatehnik,,,ro;hu,,,
steeplejack,alpinist utilitar; magasban dolgozó; kõrgustöötaja,,,ro;hu,,,
stevedore,docher; kikötői rakodómunkás; sadamatööline,,,ro;hu,,,
stitcher,,,,ro;hu,,,
stonemason,zidar de piatră; kiviraidur,,,ro;hu,,,
sweep,,,,ro;hu,,,
switchperson,macagiu; váltókezelő; raudtee pöörmeseadja,,,ro;hu,,,
taster,degustător; kóstoló; degustaator,,,ro;hu,,,
tier,,,,ro;hu,,,
treater,,,,ro;hu,,,
trimmer,,,,ro;hu,,,
warden,vahimees,,,ro;hu,,,
winder,,,,ro;hu,,,
medium,médiumn; meedium,,,ro;hu,,,
splitter,,,,ro;hu,,,
