concept_id,canonical,dimension,role_modes
interior,interior,industry,
intermodal_industry,intermodal,industry,
international_industry,international,industry,
interpretation_task,interpretation,task,
inventory_industry,inventory,industry,
investment,investment,industry,
iot_knowledge_domain,iot,knowledge_domain,
ironwork_industry,ironwork,industry,
irrigation_task,irrigation,task,
issuing_task,issuing,task,
it_knowledge_domain,it,knowledge_domain,
itinerant_knowledge_domain,itinerant,knowledge_domain,education|knowledge
jewellery_knowledge_domain,jewellery,knowledge_domain,knowledge
jewellery_product,jewellery,product,commercial
jewellery_work_object,jewellery,work_object,technical
jewelry_product,jewelry,product,commercial
journalism,journalism,task,
judicial,judicial,industry,
jury_work_object,jury,work_object,
juvenile_industry,juvenile,industry,
kennel_work_object,kennel,work_object,
kettle_work_object,kettle,work_object,
keyboard_knowledge_domain,keyboard,knowledge_domain,knowledge
kiln_work_object,kiln,work_object,technical
kitchen,kitchen,venue,
knitting_task,knitting,task,
knowledge_knowledge_domain,knowledge,knowledge_domain,knowledge
knowledge_work_object,knowledge,work_object,technical
lab,lab,venue,
laboratory,laboratory,venue,
labour_task,labour,task,
lacquer_work_object,lacquer,work_object,
lacquer_spray_gun_work_object,lacquer spray gun,work_object,technical
laminating_task,laminating,task,
land_work_object,land,work_object,
land_based_work_object,land based,work_object,technical
land_based_machinery_work_object,land based machinery,work_object,
landfill_work_object,landfill,work_object,
landscape_work_object,landscape,work_object,technical
language,language,knowledge_domain,
languages,languages,knowledge_domain,
laser_work_object,laser,work_object,technical
laser_beam_work_object,laser beam,work_object,
lasting_task,lasting,task,
lathe_work_object,lathe,work_object,technical
laundromat_work_object,laundromat,work_object,
laundry,laundry,venue,
law,law,knowledge_domain,
layout,layout,task,
leaflet_product,leaflet,product,commercial
lean_work_object,lean,work_object,
learning,learning,task,
leasing_task,leasing,task,
leather_product,leather,product,commercial
leather_work_object,leather,work_object,technical
leather_good_knowledge_domain,leather good,knowledge_domain,knowledge
leather_good_work_object,leather good,work_object,technical
leather_good_product_work_object,leather good product,work_object,technical
leather_product_knowledge_domain,leather product,knowledge_domain,knowledge
leather_product_product,leather product,product,commercial
leather_raw_industry,leather raw,industry,
leather_wet_task,leather wet,task,
legal,legal,industry,
legislative_industry,legislative,industry,
leisure_work_object,leisure,work_object,
letting_task,letting,task,
level_noop,level,noop,
library_industry,library,industry,
licensing_task,licensing,task,
life_knowledge_domain,life,knowledge_domain,education
lifeguard_knowledge_domain,lifeguard,knowledge_domain,education
lift_work_object,lift,work_object,technical
light_board_work_object,light board,work_object,technical
light_motor_product,light motor,product,commercial
lighting_product,lighting,product,commercial
lighting_task,lighting,task,
lime_kiln_work_object,lime kiln,work_object,technical
line_work_object,line,work_object,technical
linen_work_object,linen,work_object,
linguistics_knowledge_domain,linguistic,knowledge_domain,education|knowledge
liquid_fuel_work_object,liquid fuel,work_object,technical
liquid_waste_work_object,liquid waste,work_object,technical
liquor_work_object,liquor,work_object,technical
list_task,list,task,
literacy,literacy,knowledge_domain,
literary_industry,literary,industry,
literature_knowledge_domain,literature,knowledge_domain,education|knowledge
live_industry,live,industry,
livestock,livestock,population,
loan_work_object,loan,work_object,
location_task,location,task,
locker_work_object,locker,work_object,
logistics,logistics,industry,
lottery_work_object,lottery,work_object,technical
lumber_work_object,lumber,work_object,
machine_product,machine,product,commercial
machine_task,machine,task,
machine_work_object,machine,work_object,technical
machine_tool_knowledge_domain,machine tool,knowledge_domain,knowledge
machine_tool_product,machine tool,product,commercial
machinery_knowledge_domain,machinery,knowledge_domain,knowledge
machinery_product,machinery,product,commercial
machinery_work_object,machinery,work_object,technical
made_up_product,made up,product,
magazine_knowledge_domain,magazine,knowledge_domain,creative|knowledge
mail_work_object,mail,work_object,
maintenance,maintenance,task,
make_up_knowledge_domain,make up,knowledge_domain,creative
making_task,making,task,
malt_work_object,malt,work_object,
malt_kiln_work_object,malt kiln,work_object,technical
management,management,task,
manual_industry,manual,industry,
manufactured_wooden_work_object,manufactured wooden,work_object,technical
manufacturing,manufacturing,task,
marine,marine,industry,
maritime_knowledge_domain,maritime,knowledge_domain,education
maritime_water_industry,maritime water,industry,
market,market,venue,
marketing,marketing,knowledge_domain,
marking_task,marking,task,
marriage_work_object,marriage,work_object,
mask_work_object,mask,work_object,
massage_work_object,massage,work_object,
mastering_task,mastering,task,
material_industry,material,industry,
materials_product,materials,product,commercial
materials_work_object,materials,work_object,technical
maternity_task,maternity,task,
mathematics,mathematics,knowledge_domain,
mattress_work_object,mattress,work_object,technical
measure_work_object,measure,work_object,technical
measuring_task,measuring,task,
meat_knowledge_domain,meat,knowledge_domain,knowledge
meat_product,meat,product,commercial
meat_work_object,meat,work_object,technical
meat_product_knowledge_domain,meat product,knowledge_domain,knowledge
meat_product_product,meat product,product,commercial
mechanical,mechanical,industry,
mechatronics,mechatronics,industry,
media,media,knowledge_domain,
media_knowledge_domain,media,knowledge_domain,creative|knowledge
media_product,media,product,commercial
medical,medical,industry,
medicine,medicine,knowledge_domain,
membership_work_object,membership,work_object,technical
membranophone_knowledge_domain,membranophone,knowledge_domain,knowledge
mental,mental,industry,
merger_knowledge_domain,merger,knowledge_domain,knowledge
metal_industry,metal,industry,
metallurgical_industry,metallurgical,industry,
metalworking_task,metalworking,task,
meteorology_knowledge_domain,meteorology,knowledge_domain,
meter_product,meter,product,commercial
meter_work_object,meter,work_object,technical
meters_product,meters,product,commercial
meters_work_object,meters,work_object,technical
metrology_knowledge_domain,metrology,knowledge_domain,
microelectronics,microelectronics,knowledge_domain,
microsystem_knowledge_domain,microsystem,knowledge_domain,knowledge
microsystem_work_object,microsystem,work_object,technical
middle_knowledge_domain,middle,knowledge_domain,knowledge
midwifery_knowledge_domain,midwifery,knowledge_domain,education|knowledge
migrant_industry,migrant,industry,
military,military,industry,
milk_work_object,milk,work_object,technical
milk_heat_work_object,milk heat,work_object,technical
mill,mill,venue,
milling_task,milling,task,
mine,mine,venue,
mineral_industry,mineral,industry,
miniature_task,miniature,task,
mining,mining,industry,
mobile,mobile,industry,
mobility_task,mobility,task,
modelling_task,modelling,task,
modern_knowledge_domain,modern,knowledge_domain,education|knowledge
mollusc_knowledge_domain,mollusc,knowledge_domain,knowledge
mollusc_product,mollusc,product,commercial
monitoring_task,monitoring,task,
montessori_knowledge_domain,montessori,knowledge_domain,education|knowledge
mooring,mooring,task,
mortgage_work_object,mortgage,work_object,
mortgage_loan_work_object,mortgage loan,work_object,
motion_knowledge_domain,motion,knowledge_domain,creative|knowledge
motion_product,motion,product,commercial
motion_task,motion,task,
motor_product,motor,product,commercial
motor_work_object,motor,work_object,technical
motor_vehicle_work_object,motor vehicle,work_object,technical
motor_vehicle_aftersale_work_object,motor vehicle aftersale,work_object,
motor_vehicle_part_work_object,motor vehicle part,work_object,
motorcycle_knowledge_domain,motorcycle,knowledge_domain,education
motorcycle_work_object,motorcycle,work_object,technical
mould_task,mould,task,
moulding,moulding,task,
mountain_work_object,mountain,work_object,
move_work_object,move,work_object,
movie_product,movie,product,commercial
moving_task,moving,task,
multimedia_product,multimedia,product,commercial
museum_knowledge_domain,museum,knowledge_domain,creative
music,music,knowledge_domain,
musical,musical,knowledge_domain,
mutual_industry,mutual,industry,
nailing_task,nailing,task,
natural_industry,natural,industry,
nature_task,nature,task,
naval_industry,naval,industry,
navy_work_object,navy,work_object,
needs_population,needs,population,
net_task,net,task,
network_product,network,product,commercial
network_work_object,network,work_object,technical
networks_product,networks,product,commercial
networks_work_object,networks,work_object,technical
new_knowledge_domain,new,knowledge_domain,creative|knowledge
newspaper_knowledge_domain,newspaper,knowledge_domain,creative|knowledge
nibbling_task,nibbling,task,
night_work_object,night,work_object,
nitrator_work_object,nitrator,work_object,technical
nitroglycerin_separator_work_object,nitroglycerin separator,work_object,technical
non_knowledge_domain,non,knowledge_domain,knowledge
non_work_object,non,work_object,technical
non_vessel_task,non vessel,task,
non_destructive_industry,non-destructive,industry,
nonwoven_work_object,nonwoven,work_object,technical
nonwoven_staple_work_object,nonwoven staple,work_object,technical
nonwoven_textile_work_object,nonwoven textile,work_object,technical
nuclear,nuclear,industry,
numerical_industry,numerical,industry,
nursery_knowledge_domain,nursery,knowledge_domain,education|knowledge
nursing,nursing,knowledge_domain,
occupational,occupational,industry,
offending_task,offending,task,
office,office,venue,
offset_work_object,offset,work_object,
offshore_work_object,offshore,work_object,technical
oil_work_object,oil,work_object,technical
oil_refinery_work_object,oil refinery,work_object,technical
older_industry,older,industry,
online,online,channel,
onshore_wind_work_object,onshore wind,work_object,technical
operating_task,operating,task,
operations,operations,task,
optic_industry,optic,industry,
optical_industry,optical,industry,
optimisation_task,optimisation,task,
optoelectronic_industry,optoelectronic,industry,
optomechanical_industry,optomechanical,industry,
ordinary_noop,ordinary,noop,
ore_knowledge_domain,ore,knowledge_domain,knowledge
ore_product,ore,product,commercial
organ_work_object,organ,work_object,
ornamental_industry,ornamental,industry,
orthopaedic_industry,orthopaedic,industry,
orthotics_work_object,orthotic,work_object,technical
other_product,other,product,commercial
other_glassware_knowledge_domain,other glassware,knowledge_domain,knowledge
other_glassware_product,other glassware,product,commercial
outdoor_knowledge_domain,outdoor,knowledge_domain,creative
outdoor_activity_knowledge_domain,outdoor activity,knowledge_domain,education
overhaul,overhaul,task,
overhead_line_work_object,overhead line,work_object,
oxy_fuel_work_object,oxy fuel,work_object,technical
packaging_task,packaging,task,
packing_task,packing,task,
paint_product,paint,product,commercial
painting,painting,task,
palliative_industry,palliative,industry,
panel_product,panel,product,commercial
panel_work_object,panel,work_object,technical
panels_product,panels,product,commercial
panels_work_object,panels,work_object,technical
paper_product,paper,product,commercial
paper_work_object,paper,work_object,technical
paper_bag_work_object,paper bag,work_object,technical
paper_pulp_work_object,paper pulp,work_object,technical
paper_stationery_work_object,paper stationery,work_object,technical
paperboard_product_work_object,paperboard product,work_object,technical
park,park,venue,
parking_task,parking,task,
parliament_task,parliament,task,
parliamentary_industry,parliamentary,industry,
part_knowledge_domain,part,knowledge_domain,knowledge
part_product,part,product,commercial
part_work_object,part,work_object,technical
party_industry,party,industry,
passenger,passenger,population,
passengers,passengers,population,
passport_venue,passport,venue,
pasta_work_object,pasta,work_object,technical
pastoral_industry,pastoral,industry,
pastry_work_object,pastry,work_object,
patent_work_object,patent,work_object,technical
pathology_knowledge_domain,pathology,knowledge_domain,
patient,patient,population,
patients,patients,population,
payroll_work_object,payroll,work_object,
peace_work_object,peace,work_object,
pension_task,pension,task,
people,people,population,
perforating_task,perforating,task,
performance,performance,task,
performing_task,performing,task,
perfume_knowledge_domain,perfume,knowledge_domain,knowledge
perfume_product,perfume,product,commercial
perfume_work_object,perfume,work_object,technical
perfusion_task,perfusion,task,
peripheral_industry,peripheral,industry,
personal_industry,personal,industry,
persons,persons,population,
pest_task,pest,task,
pesticide_work_object,pesticide,work_object,
pet,pet,population,
petroleum_work_object,petroleum,work_object,technical
pets,pets,population,
pharmaceutical,pharmaceutical,industry,
pharmaceutical_product,pharmaceutical,product,commercial
pharmacy_knowledge_domain,pharmacy,knowledge_domain,education|knowledge
pharmacy_work_object,pharmacy,work_object,technical
philosophy,philosophy,knowledge_domain,
phone,phone,channel,
photographic_industry,photographic,industry,
photography,photography,industry,
photonics_knowledge_domain,photonic,knowledge_domain,knowledge
photonics_work_object,photonic,work_object,technical
physical,physical,industry,
physics,physics,knowledge_domain,
physiotherapy_work_object,physiotherapy,work_object,
piano_work_object,piano,work_object,
picture_knowledge_domain,picture,knowledge_domain,creative|knowledge
picture_knowledge_domain,picture,knowledge_domain,knowledge
picture_product,picture,product,commercial
picture_work_object,picture,work_object,technical
picture_film_work_object,picture film,work_object,technical
pig_work_object,pig,work_object,
pilate_knowledge_domain,pilate,knowledge_domain,education|knowledge
pile_work_object,pile,work_object,technical
pill_work_object,pill,work_object,technical
pipe_work_object,pipe,work_object,
pipeline_knowledge_domain,pipeline,knowledge_domain,knowledge
pipeline_product,pipeline,product,commercial
pipeline_work_object,pipeline,work_object,technical
pipeline_route_work_object,pipeline route,work_object,
planning,planning,task,
plant,plant,venue,
plasma_work_object,plasma,work_object,technical
plastering_task,plastering,task,
plastic_industry,plastic,industry,
plate_glass_work_object,plate glass,work_object,technical
plodder_work_object,plodder,work_object,technical
plumbing_task,plumbing,task,
pneumatic_industry,pneumatic,industry,
podcast_knowledge_domain,podcast,knowledge_domain,creative
podiatry_work_object,podiatry,work_object,
police_knowledge_domain,police,knowledge_domain,education|knowledge
police_work_object,police,work_object,technical
policy,policy,task,
politics_knowledge_domain,politic,knowledge_domain,education|knowledge
political,political,industry,
pollution_task,pollution,task,
porcelain_work_object,porcelain,work_object,
port,port,venue,
post_task,post,task,
post_production_task,post-production,task,
pottery_work_object,pottery,work_object,
poultry_work_object,poultry,work_object,
power_knowledge_domain,power,knowledge_domain,knowledge
power_product,power,product,commercial
power_work_object,power,work_object,technical
power_line_work_object,power line,work_object,
powertrain_work_object,powertrain,work_object,technical
practice_industry,practice,industry,
pre_work_object,pre,work_object,technical
pre_lasting_task,pre-lasting,task,
pre_stitching_task,pre-stitching,task,
precast_work_object,precast,work_object,
precious_work_object,precious,work_object,
precision_task,precision,task,
predictive_industry,predictive,industry,
preparation_task,preparation,task,
prepared_industry,prepared,industry,
prepared_meat_work_object,prepared meat,work_object,technical
prepress_work_object,prepress,work_object,technical
presales_channel,presales,channel,
presales_task,presales,task,
press_industry,press,industry,
press_product,press,product,commercial
press_work_object,press,work_object,technical
prevention_task,prevention,task,
pricing_task,pricing,task,
primary_venue,primary,venue,
primary_school,primary school,venue,
print_work_object,print,work_object,technical
printed_work_object,printed,work_object,technical
printing,printing,task,
prior_task,prior,task,
prison,prison,venue,
private,private,industry,
probation_task,probation,task,
process,process,task,
processing,processing,task,
procurement_task,procurement,task,
product_knowledge_domain,product,knowledge_domain,knowledge
product_product,product,product,commercial
product_work_object,product,work_object,technical
production,production,task,
products_product,products,product,commercial
program,program,task,
programme,programme,task,
programming,programming,knowledge_domain,
project,project,task,
promotion_task,promotion,task,
prop_work_object,prop,work_object,
prop_mistress_work_object,prop mistress,work_object,
property_knowledge_domain,property,knowledge_domain,knowledge
property_work_object,property,work_object,technical
protection,protection,task,
protective_industry,protective,industry,
psychology,psychology,knowledge_domain,
public,public,industry,
public_knowledge_domain,public,knowledge_domain,
public_relations,public relations,knowledge_domain,
publishing_task,publishing,task,
pulp_work_object,pulp,work_object,technical
pultrusion_task,pultrusion,task,
pump_product,pump,product,commercial
pump_work_object,pump,work_object,technical
punch_work_object,punch,work_object,technical
pupil,pupil,population,
pupils,pupils,population,
purchase_work_object,purchase,work_object,
purchasing_task,purchasing,task,
pyrotechnic_industry,pyrotechnic,industry,
pyrotechnics_task,pyrotechnic,task,
quality,quality,task,
quality_assurance,quality assurance,task,
quantity_work_object,quantity,work_object,
quarry_work_object,quarry,work_object,technical
quick_task,quick,task,
race_track_work_object,race track,work_object,technical
radiation_task,radiation,task,
radio_knowledge_domain,radio,knowledge_domain,creative
radio_work_object,radio,work_object,technical
rail_work_object,rail,work_object,technical
railway,railway,venue,
rating_task,rating,task,
raw_knowledge_domain,raw,knowledge_domain,knowledge
raw_product,raw,product,commercial
raw_work_object,raw,work_object,technical
reactor_work_object,reactor,work_object,technical
real_industry,real,industry,
rearing_task,rearing,task,
reception,reception,venue,
recirculation_task,recirculation,task,
record_work_object,record,work_object,technical
recording_task,recording,task,
recovery,recovery,task,
recreation_task,recreation,task,
recreational_industry,recreational,industry,
recruitment_task,recruitment,task,
recycling_task,recycling,task,
refinery_shift_work_object,refinery shift,work_object,
refining_task,refining,task,
refrigeration_task,refrigeration,task,
refurbishing_task,refurbishing,task,
refuse_work_object,refuse,work_object,
refuse_vehicle_work_object,refuse vehicle,work_object,
regional_noop,regional,noop,
regulatory,regulatory,industry,
rehabilitation_task,rehabilitation,task,
relations_knowledge_domain,relations,knowledge_domain,
relationship,relationship,task,
religion_knowledge_domain,religion,knowledge_domain,knowledge
religiou_knowledge_domain,religiou,knowledge_domain,education|knowledge
relocation_task,relocation,task,
remote_work_object,remote,work_object,technical
removal_industry,removal,industry,
renewable,renewable,industry,
rental,rental,task,
repair,repair,task,
reprographics_work_object,reprographic,work_object,technical
rescue,rescue,task,
research,research,task,
residential_industry,residential,industry,
resilience_knowledge_domain,resilience,knowledge_domain,knowledge
resort,resort,venue,
resource_knowledge_domain,resource,knowledge_domain,knowledge
resources_knowledge_domain,resources,knowledge_domain,
respiratory_industry,respiratory,industry,
response,response,task,
responsibility_industry,responsibility,industry,
restaurant,restaurant,venue,
restoration_task,restoration,task,
retail,retail,channel,
revenue_industry,revenue,industry,
rewinding_task,rewinding,task,
riding_task,riding,task,
rigging_task,rigging,task,
right_task,right,task,
risk,risk,task,
road,road,industry,
roadside_work_object,roadside,work_object,technical
robot_industry,robot,industry,
robotics_knowledge_domain,robotic,knowledge_domain,knowledge
robotics_work_object,robotic,work_object,technical
roller_work_object,roller,work_object,technical
rolling_task,rolling,task,
roofing_task,roofing,task,
room,room,venue,
rotating_task,rotating,task,
router_product,router,product,commercial
router_work_object,router,work_object,technical
rubber_work_object,rubber,work_object,technical
rubber_good_work_object,rubber good,work_object,technical
rubber_product_work_object,rubber product,work_object,technical
safety,safety,task,
sales,sales,task,
sales,sales,task,commercial
salon,salon,venue,
sample_task,sample,task,
sampling,sampling,task,
satellite_work_object,satellite,work_object,technical
sauce_work_object,sauce,work_object,technical
sawing_task,sawing,task,
sawmill_work_object,sawmill,work_object,technical
scaffolding_task,scaffolding,task,
scanning_task,scanning,task,
scenery_work_object,scenery,work_object,technical
scenic_industry,scenic,industry,
scheduling_task,scheduling,task,
scheme_task,scheme,task,
school,school,venue,
science,science,knowledge_domain,
scientific,scientific,industry,
scrap_knowledge_domain,scrap,knowledge_domain,knowledge
scrap_product,scrap,product,commercial
scraper_work_object,scraper,work_object,technical
screen_product,screen,product,commercial
screen_work_object,screen,work_object,technical
screen_work_object,screen,work_object,
screening,screening,task,
screens_product,screens,product,commercial
screens_work_object,screens,work_object,technical
screw_work_object,screw,work_object,technical
script_work_object,script,work_object,
seafood_product,seafood,product,commercial
sealing_task,sealing,task,
search_engine_task,search engine,task,
second_work_object,second,work_object,
secondary_venue,secondary,venue,
secondary_school,secondary school,venue,
section_task,section,task,
sectional_industry,sectional,industry,
securities,securities,knowledge_domain,
security,security,task,
security_alarm_work_object,security alarm,work_object,
seed_knowledge_domain,seed,knowledge_domain,knowledge
seed_product,seed,product,commercial
semi_finished_product,semi finished,product,commercial
sensing_task,sensing,task,
sensor_knowledge_domain,sensor,knowledge_domain,knowledge
sensor_work_object,sensor,work_object,technical
sensory_industry,sensory,industry,
separation_task,separation,task,
septic_industry,septic,industry,
service,service,task,
services,services,task,
set,set,task,
sewerage_work_object,sewerage,work_object,technical
sewerage_network_work_object,sewerage network,work_object,
sewerage_system_work_object,sewerage system,work_object,
sewing,sewing,task,
sewing_work_object,sewing,work_object,
sewing_machine,sewing machine,work_object,
sexual_industry,sexual,industry,
sheep_work_object,sheep,work_object,
sheet_industry,sheet,industry,
shelf_work_object,shelf,work_object,
shelter,shelter,venue,
shiatsu_work_object,shiatsu,work_object,
shift_noop,shift,noop,
ship_knowledge_domain,ship,knowledge_domain,knowledge
ship_product,ship,product,commercial
ship_work_object,ship,work_object,technical
shipping_task,shipping,task,
ships_product,ships,product,commercial
ships_work_object,ships,work_object,technical
shoe_product,shoe,product,commercial
shoe_work_object,shoe,work_object,technical
shop,shop,venue,
sign,sign,knowledge_domain,
sign_language,sign language,knowledge_domain,
simulation_task,simulation,task,
site,site,venue,
situation_task,situation,task,
ski_knowledge_domain,ski,knowledge_domain,education
ski_lift_work_object,ski lift,work_object,technical
slate_work_object,slate,work_object,
slitter_work_object,slitter,work_object,technical
smart_knowledge_domain,smart,knowledge_domain,knowledge
smart_work_object,smart,work_object,technical
smart_city_knowledge_domain,smart city,knowledge_domain,knowledge
snow_task,snow,task,
snow_clearing_task,snow-clearing,task,
snowboard_knowledge_domain,snowboard,knowledge_domain,education
soap_product,soap,product,commercial
soap_work_object,soap,work_object,
soap_drier_work_object,soap drier,work_object,technical
soap_tower_work_object,soap tower,work_object,technical
social,social,industry,
sociology_knowledge_domain,sociology,knowledge_domain,
software_knowledge_domain,software,knowledge_domain,knowledge
software_product,software,product,commercial
software_work_object,software,work_object,technical
soil_work_object,soil,work_object,technical
solar,solar,industry,
soldering_task,soldering,task,
sole_work_object,sole,work_object,technical
solid_waste_work_object,solid waste,work_object,technical
sound_knowledge_domain,sound,knowledge_domain,creative|knowledge
sound_work_object,sound,work_object,technical
sourcing_task,sourcing,task,
spa_work_object,spa,work_object,
space_knowledge_domain,space,knowledge_domain,education|knowledge
spark_work_object,spark,work_object,technical
speaking_task,speaking,task,
special_industry,special,industry,
special_population,special,population,
special_educational_needs,special educational needs,population,
special_needs,special needs,population,
specialised,specialised,industry,
speech,speech,knowledge_domain,
speech_and_language,speech and language,knowledge_domain,
spice_knowledge_domain,spice,knowledge_domain,knowledge
spice_product,spice,product,commercial
spinning_task,spinning,task,
sporting_task,sporting,task,
sports,sports,industry,
sports_product,sports,product,commercial
spot_work_object,spot,work_object,
spring_task,spring,task,
sprinkler_work_object,sprinkler,work_object,
squadron_work_object,squadron,work_object,
stage,stage,venue,
staircase_work_object,staircase,work_object,technical
stamping_task,stamping,task,
stand_work_object,stand,work_object,
stand_up_work_object,stand up,work_object,
standalone_product,standalone,product,commercial
starch_work_object,starch,work_object,technical
state_work_object,state,work_object,
station_task,station,task,
stationery_product,stationery,product,commercial
statistical_industry,statistical,industry,
statistics,statistics,knowledge_domain,
steam_work_object,steam,work_object,technical
steam_turbine_work_object,steam turbine,work_object,technical
steering_task,steering,task,
steiner_knowledge_domain,steiner,knowledge_domain,education|knowledge
sterile_work_object,sterile,work_object,technical
stitching_task,stitching,task,
stock_knowledge_domain,stock,knowledge_domain,knowledge
stock_product,stock,product,commercial
stock_work_object,stock,work_object,technical
stone_work_object,stone,work_object,
stop_knowledge_domain,stop,knowledge_domain,creative|knowledge
stop_motion_task,stop-motion,task,
store_industry,store,industry,
storyboard_knowledge_domain,storyboard,knowledge_domain,creative
straightening_task,straightening,task,
strategic_industry,strategic,industry,
street_knowledge_domain,street,knowledge_domain,creative
street_food_work_object,street food,work_object,
stress_knowledge_domain,stress,knowledge_domain,knowledge
stringed_knowledge_domain,stringed,knowledge_domain,knowledge
structural_industry,structural,industry,
student,student,population,
students,students,population,
studies,studies,knowledge_domain,
studio,studio,venue,
substance_misuse_work_object,substance misuse,work_object,
substation_task,substation,task,
sugar_product,sugar,product,commercial
sugar_chocolate_knowledge_domain,sugar chocolate,knowledge_domain,knowledge
sugar_chocolate_product,sugar chocolate,product,commercial
sugar_confectionery_knowledge_domain,sugar confectionery,knowledge_domain,knowledge
sugar_confectionery_product,sugar confectionery,product,commercial
sugar_refinery_work_object,sugar refinery,work_object,technical
supermarket_venue,supermarket,venue,
supply_product,supply,product,commercial
supply_chain_work_object,supply chain,work_object,
support,support,task,
supreme_work_object,supreme,work_object,
surface_work_object,surface,work_object,technical
surface_mount_knowledge_domain,surface mount,knowledge_domain,knowledge
surface_mount_work_object,surface mount,work_object,technical
surgical_industry,surgical,industry,
surveillance_industry,surveillance,industry,
surveying_task,surveying,task,
survival_industry,survival,industry,
sustainability_work_object,sustainability,work_object,
swaging_task,swaging,task,
swimming_task,swimming,task,
switchboard_work_object,switchboard,work_object,technical
synthetic,synthetic,industry,
system_knowledge_domain,system,knowledge_domain,knowledge
system_product,system,product,commercial
system_work_object,system,work_object,technical
systems_product,systems,product,commercial
systems_work_object,systems,work_object,technical
table_saw_work_object,table saw,work_object,technical
talent_task,talent,task,
talented_knowledge_domain,talented,knowledge_domain,education|knowledge
tangible_product,tangible,product,commercial
tank_product,tank,product,commercial
tank_work_object,tank,work_object,technical
tanning_task,tanning,task,
tape_product,tape,product,commercial
tax,tax,knowledge_domain,
taxi_work_object,taxi,work_object,
tea_product,tea,product,commercial
teaching,teaching,task,
team_industry,team,industry,
technical_industry,technical,industry,
technical_task,technical,task,
technology,technology,knowledge_domain,
telecommunication_task,telecommunication,task,
telecommunications,telecommunications,knowledge_domain,
telemarketing,telemarketing,channel,
telephone,telephone,channel,
tenni_knowledge_domain,tenni,knowledge_domain,education
tent_work_object,tent,work_object,technical
terminal,terminal,venue,
test,test,task,
testing,testing,task,
textile_knowledge_domain,textile,knowledge_domain,knowledge
textile_product,textile,product,commercial
textile_work_object,textile,work_object,technical
textile_industry_machinery_knowledge_domain,textile industry machinery,knowledge_domain,knowledge
textile_industry_machinery_product,textile industry machinery,product,commercial
textile_leather_knowledge_domain,textile leather,knowledge_domain,knowledge
textile_pattern_work_object,textile pattern,work_object,technical
textile_product_work_object,textile product,work_object,technical
textile_semi_finished_knowledge_domain,textile semi finished,knowledge_domain,knowledge
textile_semi_finished_product,textile semi finished,product,commercial
textile_textile_semi_finished_product,textile textile semi finished,product,commercial
textiles_product,textiles,product,commercial
thanatology_knowledge_domain,thanatology,knowledge_domain,
theater,theater,venue,
theatre,theatre,venue,
theme_work_object,theme,work_object,technical
theology,theology,knowledge_domain,
therapy_work_object,therapy,work_object,technical
thermal_industry,thermal,industry,
thread_work_object,thread,work_object,technical
ticket_task,ticket,task,
tile_work_object,tile,work_object,
tiling_task,tiling,task,
timber_product,timber,product,commercial
tissue_paper_work_object,tissue paper,work_object,technical
tobacco_product,tobacco,product,commercial
tobacco_product_knowledge_domain,tobacco product,knowledge_domain,knowledge
tobacco_product_product,tobacco product,product,commercial
toilet_work_object,toilet,work_object,
tool_product,tool,product,commercial
tool_work_object,tool,work_object,technical
tooling_task,tooling,task,
tools_product,tools,product,commercial
tools_work_object,tools,work_object,technical
tour_product,tour,product,commercial
tour_work_object,tour,work_object,technical
tourism_industry,tourism,industry,
tourism_knowledge_domain,tourism,knowledge_domain,
tourist,tourist,population,
tourists,tourists,population,
truck_work_object,truck,work_object,
tow_truck_work_object,tow truck,work_object,
tower_crane_work_object,tower crane,work_object,technical
toy_product,toy,product,commercial
trade_work_object,trade,work_object,technical
trading,trading,task,
traditional_industry,traditional,industry,
traditional_chinese_medicine_knowledge_domain,traditional chinese medicine,knowledge_domain,
traffic_industry,traffic,industry,
train_product,train,product,commercial
train_work_object,train,work_object,technical
train_work_object,train,work_object,
training,training,task,
tram_work_object,tram,work_object,
tramway_work_object,tramway,work_object,technical
transfer,transfer,task,
transformation_task,transformation,task,
translation,translation,knowledge_domain,
transmission_task,transmission,task,
transport,transport,industry,
travel,travel,knowledge_domain,
treatment,treatment,task,
trial_industry,trial,industry,
trolley_bus_work_object,trolley bus,work_object,
troubleshooting,troubleshooting,task,
truck_knowledge_domain,truck,knowledge_domain,education
truck_product,truck,product,commercial
trust_industry,trust,industry,
tufting_task,tufting,task,
tumbling_task,tumbling,task,
tunnel_work_object,tunnel,work_object,technical
tunnel_kiln_work_object,tunnel kiln,work_object,technical
turning_task,turning,task,
twisting_task,twisting,task,
tyre_work_object,tyre,work_object,
underground_heavy_work_object,underground heavy,work_object,technical
underwater_industry,underwater,industry,
unit_work_object,unit,work_object,technical
university,university,venue,
upsetting_task,upsetting,task,
urban_work_object,urban,work_object,
usability,usability,task,
user_experience_knowledge_domain,user experience,knowledge_domain,knowledge
user_interface_work_object,user interface,work_object,technical
user_interface_work_object,user interface,work_object,
utility_work_object,utility,work_object,technical
v_belt_work_object,v belt,work_object,
vacuum_work_object,vacuum,work_object,technical
van_task,van,task,
variety_knowledge_domain,variety,knowledge_domain,creative
varnish_work_object,varnish,work_object,
vegetable_knowledge_domain,vegetable,knowledge_domain,knowledge
vegetable_product,vegetable,product,commercial
vehicle_product,vehicle,product,commercial
vehicle_work_object,vehicle,work_object,technical
vehicles_product,vehicles,product,commercial
