role_head,alias,note
auctioneer,oksjonipidaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
auditor,audiitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
baker,brutar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
baker,pagar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
basketmaker,korvipunuja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
behaviourist,käitumisteadlane,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bioengineer,bioinginer,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bioengineer,bioinsener,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
biometrician,biometrist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
biometrician,biometrikus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
biometrician,biomeetrik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boatman,paadimees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boatmaster,laevakapten,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boilermaker,cazanar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boilermaker,katelsepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bookmaker,kihlveokorraldaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
brazier,vasksepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
breeder,aretaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
brewmaster,pruulmeister,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bricklayer,zidar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
builder,ehitaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
butler,majordom,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
butler,komornyik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
caretaker,gondnok,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
chef,peakokk,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
chocolatier,šokolaadimeister,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
choreologist,coreolog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
choreologist,koreoloog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
clarifier,limpezitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
clerk,ametnik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coachbuilder,carosier,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coder,codificator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
columnist,kolumnist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
conductor,karnagy,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
confectioner,cofetar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
conservator,konservaator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
contractor,antreprenor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
cooper,butnar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coroner,kohtuarst,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coverer,katja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
cutter,lõikur,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
demonstrator,demonstraator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
drafter,joonestaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
dresser,riietaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
driller,forer,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
driller,puurija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
economist,majandusteadlane,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
educator,kasvataja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
embalmer,palsameerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
enameller,emailator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
enameller,emailija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
ergonomist,ergonoom,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
escort,eskort,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
expert,ekspert,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
farrier,potcovar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
filler,umplutor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
filler,täitja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
finisher,viimistleja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
firefighter,päästja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
forester,metsamees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
gauger,calibrator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
gauger,mõõtja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
gemmologist,gemolog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
grader,liigitaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
graphologist,grafolog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
graphologist,grafoloog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
greaser,gresor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
greaser,määrija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
groomer,kutyakozmetikus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
guard,gardian,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
guardian,eestkostja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
handler,manipulant,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
handler,käsitseja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
hawker,rändkaupmees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
headteacher,koolijuht,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
housekeeper,majapidaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
interviewer,intervievator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
interviewer,intervjueerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
ironer,triikija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
ironworker,rauasepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
jeweller,juveliir,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
knitter,tricotator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
landscaper,peisagist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
landscaper,maastikukujundaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
lawyer,jurist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
lecturer,lektor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
librarian,bibliotecar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
librarian,raamatukoguhoidja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
lyricist,textier,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
maker,fabricator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
maker,valmistaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
manicurist,manichiurist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
marker,marcator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
marker,märgistaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
mediator,lepitaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
merchandiser,kaubapaigutaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
metallurgist,metallurg,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
miller,morar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
miller,malmos,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
miller,veskimees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
milliner,kalapos,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
minder,supraveghetor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
mineralogist,mineralog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
mixer,segaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
monk,szerzetes,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
monk,munk,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
moulder,formator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
moulder,vormija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
mouldmaker,vormimeister,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
mover,kolija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
nun,nunn,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
nurse,õde,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
nutritionist,toitumisnõustaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
oenologist,oenolog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
oenologist,veiniteadlane,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
optician,optikus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
optician,optik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
painter,pictor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
painter,maalija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
palaeontologist,paleontolog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
palaeontologist,paleontoloog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
patternmaker,mustrimeister,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
pedicurist,pedichiurist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
pharmacist,farmacist,Manual promotion 2026-08-31: Romanian exact role-head equivalent from bottom-500 classifier audit.
pharmacist,proviisor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
phlebotomist,flebotomist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
photojournalist,fotoreporter,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
photojournalist,fotoajakirjanik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
physiotherapist,fizioterapeut,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
picker,selector,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
picker,korjaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
planner,planeerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
plasterer,krohvik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
plumber,torulukksepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
podiatrist,podoloog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
polisher,poleerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
porter,hamal,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
porter,kandja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
potter,olar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
potter,fazekas,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
potter,pottsepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
practitioner,practician,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
practitioner,praktiseerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
practitioner,praktik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
presenter,prezentator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
presenter,saatejuht,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
printer,tipograf,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
processor,procesor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
producer,tootja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
projectionist,kinoprojektsionist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
promoter,promotor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
prompter,sufleur,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
proofreader,corector,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
proofreader,korrektor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
prosecutor,procuror,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
prototyper,prototipist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
purchaser,achizitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
purchaser,hankija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
registrar,registrator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
repairer,remondimees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
riveter,nituitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
riveter,neetija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
roofer,katusepanija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
rustproofer,deruginator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
sailor,madrus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
scaffolder,schelar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
sculptor,skulptor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
seaman,meremees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
shipbroker,laevamaakler,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
shoemaker,kingsepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
shotfirer,lõhkaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
shunter,manevrist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
singer,laulja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
skipper,comandant,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
skipper,laevajuht,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
smith,fierar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
solderer,jootja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
sophrologist,sophroloog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
specialist,szakember,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
speechwriter,kõnekirjutaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
steward,stjuuard,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
subtitler,subtiitritegija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
tailor,rätsep,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
taxidermist,preparator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
taxidermist,taksidermist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
teacher,profesor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
teller,kassapidaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
trader,kaupleja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
transcriptionist,transkribeerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
transporter,transportator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
transporter,transportija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
treasurer,varahoidja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
turner,treial,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
tutor,juhendaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
typesetter,laduja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
typist,masinakirjutaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
usher,saaliteenindaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
valuer,valuator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
verger,templomszolga,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
verger,kirikuteenija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
waitress,ettekandja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
watchmaker,kellassepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
webmaster,veebihaldur,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
woodcarver,puidunikerdaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
woodturner,puidutreial,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
worker,muncitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
zookeeper,loomaaednik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
choirmaster,choirmistress,Leaf audit 2026-08-30: exact gendered role-head variant folded into the canonical head.
doorman,doorwoman,Leaf audit 2026-08-30: exact gendered role-head variant folded into the canonical head.
groundsman,groundswoman,Leaf audit 2026-08-30: exact gendered role-head variant folded into the canonical head.
masseur,masseuse,Leaf audit 2026-08-30: exact gendered role-head variant folded into the canonical head.
postman,postwoman,Leaf audit 2026-08-30: exact gendered role-head variant folded into the canonical head.
sailor,matrose,Leaf audit 2026-08-30: exact locale variant folded into the existing canonical head.
administrator,administraator,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
director,direktor,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
governor,kuberner,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
manager,mänedžer,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
master,maistru,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
master,mester,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
master,meister,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
officer,tiszt,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
officer,ohvitser,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
brigadier,brigadir,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
climatologist,climatolog,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
climatologist,klimatoloog,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
mayor,primar,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
mayor,linnapea,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
ombudsman,õiguskantsler,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
adjuster,constatator de daune,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
adjuster,kahjukäsitleja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
anchor,uudisteankur,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
bailiff,kohtutäitur,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
biotechnologist,biotehnoloog,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
blacksmith,sepp,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
bodyguard,ihukaitsja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
caller,operator de apeluri,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
caller,helistaja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
canvasser,agent electoral,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
captain,kapten,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
chauffeur,erajuht,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
commissioner,komissar,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
concierge,uksehoidja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
courier,kuller,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
critic,kriitik,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
detective,detektiiv,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
diplomat,diplomaat,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
examiner,eksamineerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
farmer,fermier,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
farmer,põllumees,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
forecaster,prognoosija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
glazier,klaasija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
laminator,lamineerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
marshaller,maršall,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
marshaller,marssal,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
midwife,ämmaemand,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
miner,kaevur,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
osteopath,osteopaat,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
paramedic,parameedik,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
performer,esineja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
publisher,kirjastaja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
responder,intervenient,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
responder,reageerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
sorter,sorteerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
spinner,ketraja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
surgeon,kirurg,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
trustee,hooldaja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
athlete,sportiv,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
athlete,sportlane,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
chaplain,kaplan,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
comedian,koomik,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
consul,konsul,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
corporal,kapral,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
correspondent,korrespondent,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
entrepreneur,ettevõ,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
general,kindral,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
lieutenant,leitnant,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
major,maior,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
nanny,lapsehoidja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
principal,koolidirektor,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
ranger,pargivaht,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
valet,toapoiss,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
beveller,faasija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
canner,konserveerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
