role_head,alias,note
inspector,ellenőr,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
inspector,inspektor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
instructor,oktató,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
instructor,instruktor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
interpreter,interpret,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
interpreter,tolmács,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
interpreter,tõlk,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
investigator,nyomozó,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
investigator,uurija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
journalist,jurnalist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
journalist,újságíró,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
journalist,ajakirjanik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
kinesiologist,kineziolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
kinesiologist,kineziológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
kinesiologist,kinesioloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lawyer,avocat,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lawyer,ügyvéd,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lecturer,lector,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lexicographer,lexicograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lexicographer,lexikográfus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lexicographer,leksikograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
linguist,lingvist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lithographer,litograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lithographer,litográfus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
lithographer,litograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
localiser,localizator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
localiser,lokalizáló,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
localiser,lokaliseerija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
marketer,marketinges,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
marketer,turundaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
mathematician,matematician,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
mathematician,matematikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
mathematician,matemaatik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
merchant,kaupmees,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
meteorologist,meteorolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
meteorologist,meteorológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
meteorologist,meteoroloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
metrologist,metrolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
metrologist,metrológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
metrologist,metroloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
microbiologist,microbiolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
microbiologist,mikrobiológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
microbiologist,mikrobioloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
modeller,modelator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
modeller,modellező,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
modeller,modelleerija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
musician,muzician,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
musician,zenész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
musician,muusik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
nanoengineer,nanoinginer,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
nanoengineer,nanomérnök,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
observer,observator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
observer,megfigyelő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
observer,vaatleja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
oceanographer,oceanograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
oceanographer,óceánográfus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
oceanographer,okeanograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
operator,operaator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
optometrist,optometrista,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
orthoptist,ortoptist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
orthoptist,ortoptikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pharmacologist,farmacolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pharmacologist,farmakológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pharmacologist,farmakoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
philosopher,filozof,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
philosopher,filozófus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
philosopher,filosoof,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
photographer,fotograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
photographer,fotós,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
photographer,fotograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
physicist,fizician,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
physicist,fizikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
physicist,füüsik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
physiologist,fiziolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
physiologist,fiziológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
physiologist,füsioloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pilot,pilóta,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pilot,piloot,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pilot,co-pilot,Leaf audit 2026-08-31: exact prefixed flight role-head variant folded into canonical pilot to avoid stray `co` work-object leakage.
psychologist,pszichológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
psychologist,psühholoog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
psychotherapist,psihoterapeut,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
psychotherapist,pszichoterapeuta,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
psychotherapist,psühhoterapeut,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pyrotechnician,pirotehnicist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pyrotechnician,pirotechnik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
pyrotechnician,pürotehnik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
radiographer,radiograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
radiographer,radiograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
restorer,restaurator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
restorer,restauraator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
seismologist,seismolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
seismologist,szeizmológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
seismologist,seismoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
sociologist,sociolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
sociologist,szociológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
sociologist,sotsioloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
sommelier,somelier,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
sommelier,sommeljee,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
specialist,spetsialist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
statistician,statisztikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
statistician,statistik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
stewardess,stewardesă,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
stewardess,stjuardess,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
surveyor,topograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
surveyor,földmérő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
surveyor,maamõõtja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
technologist,tehnolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
technologist,technológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
technologist,tehnoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
tester,tesztelő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
tester,testija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
therapist,terapeut,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
therapist,terapeuta,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
toxicologist,toxicolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
toxicologist,toxikológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
toxicologist,toksikoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
upholsterer,tapițer,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
upholsterer,kárpitos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
veterinarian,állatorvos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
veterinarian,loomaarst,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
vlogger,vlogija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
webmaster,webmester,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
writer,scriitor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
writer,író,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
writer,kirjanik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
seller,salesperson,ESCO family alias 2026-08-29: direct English family alias to canonical seller.
senator,legislator,ESCO family alias 2026-08-29: direct English family alias to canonical senator.
writer,author,ESCO family alias 2026-08-29: direct English family alias to canonical writer.
aesthetician,beautician,ESCO family alias 2026-08-29: direct English family alias to canonical aesthetician.
landscaper,gardener,ESCO family alias 2026-08-29: direct English family alias to canonical landscaper.
organiser,organizer,Variant centralization 2026-08-30: American English alias to canonical British English organiser.
councillor,councilor,Variant centralization 2026-08-30: American English alias to canonical British English councillor.
colourist,colorist,Variant centralization 2026-08-30: American English alias to canonical British English colourist.
vulcaniser,vulcanizer,Variant centralization 2026-08-30: American English alias to canonical British English vulcaniser.
repetiteur,répétiteur,Accent centralization 2026-08-30: accented surface alias to ASCII canonical repetiteur.
accountant,könnyvelő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
representative,képviselő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
acupuncturist,acupunctor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
aesthetician,estetician,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
aesthetician,kozmetikus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
agent,ügynök,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
annealer,recoacător,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
arboriculturist,arboricultor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
arboriculturist,puukasvataja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
arranger,aranjor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
arranger,arranžeerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
assayer,fémvizsgáló,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
assembler,asamblor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
assembler,összeszerelő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
assembler,koostaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
assessor,evaluator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
assessor,hindaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
attendant,teenindaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
auctioneer,licitator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
auctioneer,árverésvezető,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
auctioneer,oksjonipidaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
auditor,könyvvizsgáló,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
auditor,audiitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
babysitter,bonă,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
baker,brutar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
baker,pék,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
baker,pagar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
basketmaker,kosárfonó,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
basketmaker,korvipunuja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
behaviourist,viselkedéskutató,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
behaviourist,käitumisteadlane,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bioengineer,bioinginer,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bioengineer,biomérnök,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bioengineer,bioinsener,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
biometrician,biometrist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
biometrician,biometrikus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
biometrician,biomeetrik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boatman,luntraș,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boatman,hajós,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boatman,paadimees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boatmaster,laevakapten,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boilermaker,cazanar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boilermaker,kazánkovács,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
boilermaker,katelsepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bookkeeper,könyvelő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bookmaker,kihlveokorraldaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
brazier,arămari,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
brazier,rézműves,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
brazier,vasksepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
breeder,crescător,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
breeder,tenyésztő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
breeder,aretaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
brewmaster,pruulmeister,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bricklayer,zidar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bricklayer,kőműves,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
bricklayer,müürsepp,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
builder,constructor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
builder,építő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
builder,ehitaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
butler,majordom,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
butler,komornyik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
butler,ülemteener,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
caretaker,gondnok,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
catcher,prinzător,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
catcher,püüdja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
chef,főszakács,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
chef,peakokk,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
chiropractor,csontkovács,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
chocolatier,csokoládékészítő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
chocolatier,šokolaadimeister,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
choreologist,coreolog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
choreologist,mozgáselemző,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
choreologist,koreoloog,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
clarifier,limpezitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
clarifier,derítő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
cleaner,curățător,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
clerk,funcționar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
clerk,hivatalnok,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
clerk,ametnik,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coachbuilder,carosier,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coachbuilder,karosszérialakatos,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coder,codificator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
columnist,rovatvezető,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
columnist,kolumnist,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
conductor,karnagy,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
confectioner,cofetar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
confectioner,cukrász,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
conservator,konservaator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
contractor,antreprenor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
contractor,vállalkozó,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
contractor,töövõtja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
cooper,butnar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
cooper,kádár,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
cooper,tünnimeister,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coroner,halottkém,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coroner,kohtuarst,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coverer,acoperitor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
coverer,katja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
cutter,lõikur,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
demonstrator,demonstraator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
drafter,rajzoló,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
drafter,joonestaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
dresser,îmbrăcător,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
dresser,öltöztető,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
dresser,riietaja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
driller,forer,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
driller,puurija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
economist,közgazdász,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
economist,majandusteadlane,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
educator,pedagógus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
educator,kasvataja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
embalmer,îmbălsămător,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
embalmer,balzsamozó,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
embalmer,palsameerija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
embroiderer,brodeuză,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
embroiderer,hímző,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
enameller,emailator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
enameller,zománcozó,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
enameller,emailija,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
ergonomist,ergonómus,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
ergonomist,ergonoom,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
escort,eskort,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
expert,szakértő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
expert,ekspert,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
farrier,potcovar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
farrier,patkolókovács,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
filler,umplutor,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
filler,töltő,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
filler,täitja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
finisher,finisator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
finisher,viimistleja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
firefighter,päästja,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
forester,pădurar,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
forester,erdész,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
forester,metsamees,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
gauger,calibrator,Manual promotion 2026-08-29: user-approved exact role-head equivalent from role_head_equivalence review.
